,question,answer,key phrases
3265,"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","You could use a test runner that would do this for you.  nose is very good for example.  When run, it will find tests in the current tree and run them.",
3267,"I have a directory that contains my Python unit tests. Each unit test module is of the form test_*.py. I am attempting to make a file called all_test.py that will, you guessed it, run all files in the aforementioned test form and return the result. I have tried two methods so far; both have failed. I will show the two methods, and I hope someone out there knows how to actually do this correctly.","Well by studying the code above a bit (specifically using TextTestRunner and defaultTestLoader), I was able to get pretty close. Eventually I fixed my code by also just passing all test suites to a single suites constructor, rather than adding them ""manually"", which fixed my other problems. So here is my solution.",
3269,What are the advantages and disadvantages of each?,"Numpy matrices are strictly 2-dimensional, while numpy arrays (ndarrays) are
N-dimensional.  Matrix objects are a subclass of ndarray, so they inherit all
the attributes and methods of ndarrays.",
3272,What are the advantages and disadvantages of each?,"As per the official documents, it's not anymore advisable to use matrix class since it will be removed in the future.",
3274,I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,A module is a file containing Python definitions and statements. The file name is the module name with the suffix .py,
3277,I've been making Python scripts for simple tasks at work and never really bothered packaging them for others to use. Now I have been assigned to make a Python wrapper for a REST API. I have absolutely no idea on how to start and I need help.,"Once you have defined your chosen commands, you can simply drag and drop the saved file into the Lib folder in your python program files. ",
3283,"I have a Python file which might have to support Python versions < 3.x and >= 3.x. Is there a way to introspect the Python runtime to know the version which it is running (for example, 2.6 or 3.2.x)?","The best solution depends on how much code is incompatible. If there are a lot of places you need to support Python 2 and 3, six is the compatibility module. six.PY2 and six.PY3 are two booleans if you want to check the version.",
3288,What's the easiest way to add an empty column to a pandas DataFrame object?  The best I've stumbled upon is something like,"Starting with v0.16.0, DF.assign() could be used to assign new columns (single/multiple) to a DF. These columns get inserted in alphabetical order at the end of the DF.",
3291,"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",Since none for these solutions support the latest version of PDFMiner I wrote a simple solution that will return text of a pdf using PDFMiner. This will work for those who are getting import errors with process_pdf ,
3292,"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ",Pdftotext An open source program (part of Xpdf) which you could call from python (not what you asked for but might be useful). I've used it with no problems. I think google use it in google desktop.,
3293,"
Want to improve this question? Update the question so it's on-topic for Stack Overflow.
                ","pyPDF works fine (assuming that you're working with well-formed PDFs).  If all you want is the text (with spaces), you can just do:",
3294,"On my local machine, I run a python script which contains this line","Don't use os.system. It has been deprecated in favor of subprocess. From the docs: ""This module intends to replace several older modules and functions: os.system, os.spawn"".",
3297,"On my local machine, I run a python script which contains this line","You can use subprocess, but I always felt that it was not a 'Pythonic' way of doing it. So I created Sultan (shameless plug) that makes it easy to run command line functions.",
3300,How can I convert a DataFrame column of strings (in dd/mm/yyyy format) to datetimes?,"If your date column is a string of the format '2017-01-01'
you can use pandas astype to convert it to datetime.",
3304,Right now I'm importing a fairly large CSV as a dataframe every time I run the script. Is there a good solution for keeping that dataframe constantly available in between runs so I don't have to spend all that time waiting for the script to run?,Although there are already some answers I found a nice comparison in which they tried several ways to serialize Pandas DataFrames: Efficiently Store Pandas DataFrames. ,
3305,Right now I'm importing a fairly large CSV as a dataframe every time I run the script. Is there a good solution for keeping that dataframe constantly available in between runs so I don't have to spend all that time waiting for the script to run?,"If I understand correctly, you're already using pandas.read_csv() but would like to speed up the development process so that you don't have to load the file in every time you edit your script, is that right? I have a few recommendations:",
3309,Is there a way to have a defaultdict(defaultdict(int)) in order to make the following code work?,The parameter to the defaultdict constructor is the function which will be called for building new elements. So let's use a lambda !,
3314,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","You can get a subset of the np.set_printoptions functionality from the np.array_str command, which applies only to a single print statement.",
3316,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","FYI Numpy 1.15 (release date pending) will include a context manager for setting print options locally. This means that the following will work the same as the corresponding example in the accepted answer (by unutbu and Neil G) without having to write your own context manager. E.g., using their example:",
3317,"I'm curious, whether there is any way to print formatted numpy.arrays, e.g., in a way similar to this:","The gem that makes it all too easy to obtain the result as a string (in today's numpy versions) is hidden in denis answer:
np.array2string",
3318,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","This error usually rises when you join / assign to a column when the index has duplicate values. Since you are assigning to a row, I suspect that there is a duplicate value in affinity_matrix.columns, perhaps not shown in your question.",
3320,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","Indices with duplicate values often arise if you create a DataFrame by concatenating other DataFrames. IF you don't care about preserving the values of your index, and you want them to be unique values, when you concatenate the the data, set ignore_index=True.",
3321,"I am getting a ValueError: cannot reindex from a duplicate axis when I am trying to set an index to a certain value. I tried to reproduce this with a simple example, but I could not do it.","For people who are still struggling with this error, it can also happen if you accidentally create a duplicate column with the same name.  Remove duplicate columns like so:",
3323,In C# there's a null-coalescing operator (written as ??) that allows for easy (short) null checking during assignment:,"Ok, it must be clarified how the or operator works. It is a boolean operator, so it works in a boolean context. If the values are not boolean, they are converted to boolean for the purposes of the operator.",
3329,"I have a list of tuples in Python, and I have a conditional where I want to take the branch ONLY if the tuple is not in the list (if it is in the list, then I don't want to take the if branch)","The cheapest and most readable solution is using the in operator (or in your specific case, not in). As mentioned in the documentation,",
3330,"In comparison to Java (in a string), you would do something like ""First Line\r\nSecond Line"".","It depends on how correct you want to be. \n will usually do the job. If you really want to get it right, you look up the newline character in the os package. (It's actually called linesep.)",
3334,"In comparison to Java (in a string), you would do something like ""First Line\r\nSecond Line"".",EDIT: I am older and wiser now. Here is a more readable solution that will work correctly even if you aren't at top level indentation (e.g. in a function definition).,
3336,I want to send a datetime.datetime object in serialized form from Python using JSON and de-serialize in JavaScript using JSON. What is the best way to do this?,"For cross-language projects, I found out that strings containing RfC 3339 dates are the best way to go. An RfC 3339 date looks like this:",
3339,I want to send a datetime.datetime object in serialized form from Python using JSON and de-serialize in JavaScript using JSON. What is the best way to do this?,"Here's a fairly complete solution for recursively encoding and decoding datetime.datetime and datetime.date objects using the standard library json module. This needs Python >= 2.6 since the %f format code in the datetime.datetime.strptime() format string is only supported in since then. For Python 2.5 support, drop the %f and strip the microseconds from the ISO date string before trying to convert it, but you'll loose microseconds precision, of course. For interoperability with ISO date strings from other sources, which may include a time zone name or UTC offset, you may also need to strip some parts of the date string before the conversion. For a complete parser for ISO date strings (and many other date formats) see the third-party dateutil module.",
3344,How can I order by descending my query set in django by date?,"Adding the - will order it in descending order.
You can also set this by adding a default ordering to the meta of your model. This will mean that when you do a query you just do MyModel.objects.all() and it will come out in the correct order.",
3348,I want to delete a particular record. Such as,this will raise exception if the object with specified primary key doesn't exist because at first it tries to retrieve the specified object.,
3351,I want to delete a particular record. Such as,The delete() method is used to delete model instances from a database.This method immediately deletes the object. this method returns the number of object deleted.,
3352,In order to test some functionality I would like to create a DataFrame from a string. Let's say my test data looks like:,A simple way to do this is to use StringIO.StringIO (python2) or io.StringIO (python3) and pass that to the pandas.read_csv function. E.g:,
3357,"In Python, I've seen two variable values swapped using this syntax:","Python evaluates expressions from left to right. Notice that while
evaluating an assignment, the right-hand side is evaluated before the
left-hand side.",
3362,"I have seen many projects using simplejson module instead of json module from the Standard Library. Also, there are many different simplejson modules. Why would use these alternatives, instead of the one in the Standard Library?","json is simplejson, added to the stdlib. But since json was added in 2.6, simplejson has the advantage of working on more Python versions (2.4+). ",
3363,"I have seen many projects using simplejson module instead of json module from the Standard Library. Also, there are many different simplejson modules. Why would use these alternatives, instead of the one in the Standard Library?",I have to disagree with the other answers: the built in json library (in Python 2.7) is not necessarily slower than simplejson. It also doesn't have this annoying unicode bug.,
3370,"Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing",Since version 0.18.1 the .loc method accepts a callable for selection. Together with lambda functions you can create very flexible chainable filters:,
3371,"Most operations in pandas can be accomplished with operator chaining (groupby, aggregate, apply, etc), but the only way I've found to filter rows is via normal bracket indexing","pandas provides two alternatives to Wouter Overmeire's answer which do not require any overriding. One is .loc[.] with a callable, as in",
3372,"In Python for *nix, does time.sleep() block the thread or the process?","It blocks the thread.  If you look in Modules/timemodule.c in the Python source, you'll see that in the call to floatsleep(), the substantive part of the sleep operation is wrapped in a Py_BEGIN_ALLOW_THREADS and Py_END_ALLOW_THREADS block, allowing other threads to continue to execute while the current one sleeps.  You can also test this with a simple python program:",
3373,"In Python for *nix, does time.sleep() block the thread or the process?","It will just sleep the thread except in the case where your application has only a single thread, in which case it will sleep the thread and effectively the process as well.",
3381,What is the difference between 'SAME' and 'VALID' padding in tf.nn.max_pool of tensorflow?,"Padding is an operation to increase the size of the input data. In case of 1-dimensional data you just append/prepend the array with a constant, in 2-dim you surround matrix with these constants. In n-dim you surround your n-dim hypercube with the constant. In most of the cases this constant is zero and it is called zero-padding.",
3382,"Is there a Pool class for worker threads, similar to the multiprocessing module's Pool class?","I just found out that there actually  is a thread-based Pool interface in the multiprocessing module, however it is hidden somewhat and not properly documented.",
3388,"I have a timezone aware timestamptz field in PostgreSQL. When I pull data from the table, I then want to subtract the time right now so I can get it's age.","The correct solution is to add the timezone info e.g., to get the current time as an aware datetime object in Python 3:",
3389,"I have a timezone aware timestamptz field in PostgreSQL. When I pull data from the table, I then want to subtract the time right now so I can get it's age.",I know some people use Django specifically as an interface to abstract this type of database interaction.  Django provides utilities that can be used for this:,
3392,I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time.,"You have the wrong mental model for using NumPy efficiently. NumPy arrays are stored in contiguous blocks of memory. If you want to add rows or columns to an existing array, the entire array needs to be copied to a new block of memory, creating gaps for the new elements to be stored. This is very inefficient if done repeatedly to build an array.",
3393,I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time.,"A NumPy array is a very different data structure from a list and is designed to be used in different ways.  Your use of hstack is potentially very inefficient... every time you call it, all the data in the existing array is copied into a new one. (The append function will have the same issue.)  If you want to build up your matrix one column at a time, you might be best off to keep it in a list until it is finished, and only then convert it into an array.",
3394,I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time.,"To create an empty multidimensional array in NumPy (e.g. a 2D array m*n to store your matrix), in case you don't know m how many rows you will append and don't care about the computational cost Stephen Simmons mentioned (namely re-buildinging the array at each append), you can squeeze to 0 the dimension to which you want to append to: X = np.empty(shape=[0, n]).",
3395,I can't figure out how to use an array or matrix in the way that I would normally use a list. I want to create an empty array (or matrix) and then add one column (or row) to it at a time.,"I looked into this a lot because I needed to use a numpy.array as a set in one of my school projects and I needed to be initialized empty... I didn't found any relevant answer here on Stack Overflow, so I started doodling something. ",
3398,"Unless I'm mistaken, creating a function in Python works like this:","Python is strongly typed because every object has a type, every object knows its type, it's impossible to accidentally or deliberately use an object of a type ""as if"" it was an object of a different type, and all elementary operations on the object are delegated to its type.",
3399,"Unless I'm mistaken, creating a function in Python works like this:",You don't specify a type.  The method will only fail (at runtime) if it tries to access attributes that are not defined on the parameters that are passed in.,
3400,"Unless I'm mistaken, creating a function in Python works like this:","Many languages have variables, which are of a specific type and have a value. Python does not have variables; it has objects, and you use names to refer to these objects.",
3408,"Two options in setup.py develop and install are confusing me. According to this site, using develop creates a special link to site-packages directory.",From the documentation. The develop will not install the package but it will create a .egg-link in the deployment directory back to the project source code directory.,
3409,"Two options in setup.py develop and install are confusing me. According to this site, using develop creates a special link to site-packages directory.",Another thing that people may find useful when using the develop method is the --user option to install without sudo. Ex:,
3410,"This is probably a trivial question, but how do I parallelize the following loop in python?",Using multiple threads on CPython won't give you better performance for pure-Python code due to the global interpreter lock (GIL).  I suggest using the multiprocessing module instead:,
3412,"This is probably a trivial question, but how do I parallelize the following loop in python?","To parallelize a simple for loop, joblib brings a lot of value to raw use of multiprocessing. Not only the short syntax, but also things like transparent bunching of iterations when they are very fast (to remove the overhead) or capturing of the traceback of the child process, to have better error reporting.",
3413,"This is probably a trivial question, but how do I parallelize the following loop in python?","Use a PoolExecutor from concurrent.futures. Compare the original code with this, side by side. First, the most concise way to approach this is with executor.map:",
3414,"This is probably a trivial question, but how do I parallelize the following loop in python?","You can use asyncio. (Documentation can be found here). It is used as a foundation for multiple Python asynchronous frameworks that provide high-performance network and web-servers, database connection libraries, distributed task queues, etc. Plus it has both high-level and low-level APIs to accomodate any kind of problem.",
3416,"I recently discovered pytest. It seems great. However, I feel the documentation could be better.",In a wide meaning conftest.py is a local per-directory plugin. Here you define directory-specific hooks and fixtures. In my case a have a root directory containing project specific tests directories. Some common magic is stationed in 'root' conftest.py. Project specific - in their own ones. Can't see anything bad in storing fixtures in conftest.py unless they are not used widely (In that case I prefer to define them in test files directly),
3417,"I recently discovered pytest. It seems great. However, I feel the documentation could be better.","I use the conftest.py file to define the fixtures that I inject into my tests, is this the correct use of conftest.py?",
3420,"I'm sure this is a trivial operation, but I can't figure out how it's done.",When you have list of items and you want to check the possible values from the list then you can't use =.,
3430,"If you read an entire file with content = open('Path/to/file', 'r').read() is the file handle left open until the script exits?  Is there a more concise method to read a whole file? ","Instead of retrieving the file content as a single string,
it can be handy to store the content as a list of all lines the file comprises:",
3431,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).","You write, ""I know literally it's list of numbers and list of lists where all list contains only a number"" but that's a bit of an unhelpful way to think about it.",
3432,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).","The difference between (R,) and (1,R) is literally the number of indices that you need to use.  ones((1,R)) is a 2-D array that happens to have only one row.  ones(R) is a vector.  Generally if it doesn't make sense for the variable to have more than one row/column, you should be using a vector, not a matrix with a singleton dimension.",
3433,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).","The shape is a tuple. If there is only 1 dimension the shape will be one number and just blank after a comma. For 2+ dimensions, there will be a number after all the commas.",
3434,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).","For its base array class, 2d arrays are no more special than 1d or 3d ones.  There are some operations that preserve the dimensions, some that reduce them, other combine or even expand them.",
3435,"In numpy, some of the operations return in shape (R, 1) but some return (R,). This will make matrix multiplication more tedious since explicit reshape is required. For example, given a matrix M, if we want to do numpy.dot(M[:,0], numpy.ones((1, R))) where R is the number of rows (of course, the same issue also occurs column-wise). We will get matrices are not aligned error since M[:,0] is in shape (R,) but numpy.ones((1, R)) is in shape (1, R).","There are a lot of good answers here already. But for me it was hard to find some example, where the shape or array can break all the program.",
3444,"This is the first time I've really sat down and tried python 3, and seem to be failing miserably. I have the following two files:",TL;DR: You can't do relative imports from the file you execute since __main__ module is not a part of a package.,
3451,"How are ""keyword arguments"" different from regular arguments? Can't all arguments be passed as name=value instead of using positional syntax?",Using keyword arguments is the same thing as normal arguments except order doesn't matter. For example the two functions calls below are the same:,
3456,"I am currently using Beautiful Soup to parse an HTML file and calling get_text(), but it seems like I'm being left with a lot of \xa0 Unicode representing spaces. Is there an efficient way to remove all of them in Python 2.7, and change them into spaces? I guess the more generalized question would be, is there a way to remove Unicode formatting?","After trying several methods, to summarize it, this is how I did it. Following are two ways of avoiding/removing \xa0 characters from parsed HTML string.",
3462,I've created an object like this:,"I think it's a pretty strong assumption to assume that the object is a class. What if it's not a class?  There's also the assumption that the object was not defined in the interpreter.  What if it was defined in the interpreter?  Also, what if the attributes were added dynamically? When some python objects have attributes added to their __dict__ after creation, pickle doesn't respect the addition of those attributes (i.e. it 'forgets' they were added -- because pickle serializes by reference to the object definition).",
3467,"If I have a numpy dtype, how do I automatically convert it to its closest python data type?  For example,","found myself having mixed set of numpy types and standard python. as all numpy types derive from numpy.generic, here's how you can convert everything to python standard types:",
3468,"If I have a numpy dtype, how do I automatically convert it to its closest python data type?  For example,",If you want to convert (numpy.array OR numpy scalar OR native type OR numpy.darray) TO native type you can simply do :,
3469,"If I have a numpy dtype, how do I automatically convert it to its closest python data type?  For example,",tolist() is a more general approach to accomplish this. It works in any primitive dtype and also in arrays or matrices.,
3471,I'm looking for an easy (and quick) way to determine if two unordered lists contain the same elements:,"Python has a built-in datatype for an unordered collection of (hashable) things, called a set. If you convert both lists to sets, the comparison will be unordered.",
3475,I'm looking for an easy (and quick) way to determine if two unordered lists contain the same elements:,"Assuming you already know lists are of equal size, the following will guarantee True if and only if two vectors are exactly the same (including order)",
3477,How can I get a string after a specific substring?,"If you want to deal with the case where s2 is not present in s1, then use s1.find(s2) as opposed to index. If the return value of that call is -1, then s2 is not in s1.",
3480,How can I get a string after a specific substring?,"If you want to do this using regex, you could simply use a non-capturing group, to get the word ""world"" and then grab everything after, like so",
3486,With PEP 557 data classes are introduced into python standard library. ,"Data classes are just regular classes that are geared towards storing state, rather than containing a lot of logic. Every time you create a class that mostly consists of attributes, you make a data class.",
3490,I used easy_install to install pytest on a mac and started writing tests for a project with a file structure likes so:,"I'm not sure why py.test does not add the current directory in the PYTHONPATH itself, but here's a workaround (to be executed from the root of your repository):",
3495,"Python will not run in git bash (Windows). When I type python in the command line, it takes me to a blank line without saying that it has entered python 2.7.10 like its does in Powershell. It doesn't give me an error message, but python just doesn't run.","Just enter this in your git shell on windows - > alias python='winpty python.exe', that is all and you are going to have alias to the python executable.  This alias will be valid for the duration of the shell session.",
3497,"Python will not run in git bash (Windows). When I type python in the command line, it takes me to a blank line without saying that it has entered python 2.7.10 like its does in Powershell. It doesn't give me an error message, but python just doesn't run.","This is a known bug in MSys2, which provides the terminal used by Git Bash. You can work around it by running a Python build without ncurses support, or by using WinPTY, used as follows:",
3503,"If I want to use the results of argparse.ArgumentParser(), which is a Namespace object, with a method that expects a dictionary or mapping-like object (see collections.Mapping), what is the right way to do it?","Note that if you're trying to treat args as a dict to find out if it has an attribute, you can just do the following instead:",
3504,I got a lot of errors with the message :,"This is what postgres does when a query produces an error and you try to run another query without first rolling back the transaction.  (You might think of it as a safety feature, to keep you from corrupting your data.)",
3507,I got a lot of errors with the message :,"So, I ran into this same issue. The problem I was having here was that my database wasn't properly synced. Simple problems always seem to cause the most angst...",
3509,What's the difference between raise and raise from in Python?,"The difference is that when you use from, the __cause__ attribute is set and the message states that the exception was directly caused by. If you omit the from then no __cause__ is set, but the __context__ attribute may be set as well, and the traceback then shows the context as during handling something else happened.",
3516,I have a string which is like this:,"I see regex approaches here that look complex and/or wrong.  This surprises me, because regex syntax can easily describe ""whitespace or thing-surrounded-by-quotes"", and most regex engines (including Python's) can split on a regex.  So if you're going to use regexes, why not just say exactly what you mean?:",
3520,"I am trying to plot a simple graph using pyplot, e.g.:","In my case, the error message was implying that I was working in a headless console. So plt.show() could not work. What worked was calling plt.savefig:",
3524,"In a comment on this question, I saw a statement that recommended using",== is an equality test. It checks whether the right hand side and the left hand side are equal objects (according to their __eq__ or __cmp__ methods.),
3525,"In a comment on this question, I saw a statement that recommended using","First, let me go over a few terms. If you just want your question answered, scroll down to ""Answering your question"".",
3530,"I've tried reading through questions about sibling imports and even the
package documentation, but I've yet to find an answer.","Since I wrote the answer below, modifying sys.path is still a quick-and-dirty trick that works well for private scripts, but there has been several improvements",
3533,"I've tried reading through questions about sibling imports and even the
package documentation, but I've yet to find an answer.","I don't yet have the comprehension of Pythonology necessary to see the intended way of sharing code amongst unrelated projects without a sibling/relative import hack.  Until that day, this is my solution.  For examples or tests to import stuff from ..\api, it would look like: ",
3536,I noticed that the Python 2.7 documentation includes yet another command-line parsing module.  In addition to getopt and optparse we now have argparse.,"The best source for rationale for a Python addition would be its PEP: PEP 389: argparse - New Command Line Parsing Module, in particular, the section entitled, Why aren't getopt and optparse enough?",
3540,"Possible Duplicate:
Python: What OS am I running on? ","I usually use sys.platform to get the platform. sys.platform will distinguish between linux, other unixes, and OS X, while os.name is ""posix"" for all of them.",
3541,"Possible Duplicate:
Python: What OS am I running on? ","This gives you the essential information you will usually need. To distinguish between, say, different editions of Windows, you will have to use a platform-specific method.",
3546,If I have that code:,"Even though I realise this is an old question, I'd like to suggest using the traceback module to handle output of the exceptions.",
3555,models.py:,"For every field that has choices set, the object will have a get_FOO_display() method, where FOO is the name of the field. This method returns the “human-readable” value of the field.",
3562,"I use the following simple code to parse some arguments; note that one of them is required. Unfortunately, when the user runs the script without providing the argument, the displayed usage/help text does not indicate that there is a non-optional argument, which I find very confusing. How can I get python to indicate that an argument is not optional?","Parameters starting with - or -- are usually considered optional. All other parameters are positional parameters and as such required by design (like positional function arguments). It is possible to require optional arguments, but this is a bit against their design. Since they are still part of the non-positional arguments, they will still be listed under the confusing header “optional arguments” even if they are required. The missing square brackets in the usage part however show that they are indeed required.",
3566,"I use the following simple code to parse some arguments; note that one of them is required. Unfortunately, when the user runs the script without providing the argument, the displayed usage/help text does not indicate that there is a non-optional argument, which I find very confusing. How can I get python to indicate that an argument is not optional?","by default there're 2 argument groups in parser._action_groups: positional arguments and named arguments (titled 'optional arguments').
you can add your named optional arguments to the existing 'optional arguments' group, and required named arguments to a new 'required arguments' group. After that you can re-order groups:",
3567,I'm trying to install a new Python environment on my shared hosting. I follow the steps written in this post:,"The gcc compiler is not in your $PATH.
It means either you dont have gcc installed or it's not in your $PATH variable.",
3577,"I'm trying to get a better understanding of the difference. I've found a lot of explanations online, but they tend towards the abstract differences rather than the practical implications.","A compiled language is one where the program, once compiled, is expressed in the instructions of the target machine. For example, an addition ""+"" operation in your source code could be translated directly to the ""ADD"" instruction in machine code.",
3578,"I'm trying to get a better understanding of the difference. I've found a lot of explanations online, but they tend towards the abstract differences rather than the practical implications.","A language itself is neither compiled nor interpreted, only a specific implementation of a language is.  Java is a perfect example.  There is a bytecode-based platform (the JVM), a native compiler (gcj) and an interpeter for a superset of Java (bsh).  So what is Java now? Bytecode-compiled, native-compiled or interpreted?  ",
3582,How can I get the output of a process run using subprocess.call()?,"If you have Python version >= 2.7, you can use subprocess.check_output which basically does exactly what you want (it returns standard output as string).",
3584,How can I get the output of a process run using subprocess.call()?,"For python 3.5+ it is recommended that you use the run function from the subprocess module. This returns a CompletedProcess object, from which you can easily obtain the output as well as return code.",
3585,How can I get the output of a process run using subprocess.call()?,"I have the following solution. It captures the exit code, the stdout, and the stderr too of the executed external command:",
3588,"I am trying to plot some data from a camera in real time using OpenCV. However, the real-time plotting (using matplotlib) doesn't seem to be working.","If you're interested in realtime plotting, I'd recommend looking into matplotlib's animation API. In particular, using blit to avoid redrawing the background on every frame can give you substantial speed gains (~10x):",
3589,"I am trying to plot some data from a camera in real time using OpenCV. However, the real-time plotting (using matplotlib) doesn't seem to be working.","I know I'm a bit late to answer this question. Nevertheless, I've made some code a while ago to plot live graphs, that I would like to share:",
3590,"I am trying to plot some data from a camera in real time using OpenCV. However, the real-time plotting (using matplotlib) doesn't seem to be working.","None of the methods worked for me.
But I have found this
Real time matplotlib plot is not working while still in a loop",
3591,"I am trying to plot some data from a camera in real time using OpenCV. However, the real-time plotting (using matplotlib) doesn't seem to be working.","The top (and many other) answers were built upon plt.pause(), but that was an old way of animating the plot in matplotlib. It is not only slow, but also causes focus to be grabbed upon each update (I had a hard time stopping the plotting python process).",
3592,"Following this python example, I encode a string as Base64 with:","base64 encoding takes 8-bit binary byte data and encodes it uses only the characters A-Z, a-z, 0-9, +, /* so it can be transmitted over channels that do not preserve all 8-bits of data, such as email.",
3600,The time module can be initialized using seconds since epoch:,"Note that datetime.datetime.fromtimestamp(timestamp) and .utcfromtimestamp(timestamp) fail on windows for dates before Jan. 1, 1970 while negative unix timestamps seem to work on unix-based platforms. The docs say this:",
3601,The time module can be initialized using seconds since epoch:,"For those that want it ISO 8601 compliant, since the other solutions do not have the T separator nor the time offset (except Meistro's answer):",
3603,"I'm investigating how to develop a decent web app with Python. Since I don't want some high-order structures to get in my way, my choice fell on the lightweight Flask framework. Time will tell if this was the right choice.","If you are talking about test/dev environments, then just use the debug option. It will auto-reload the flask app when a code change happens.",
3608,"I have read the official definition of ""raise"", but I still don't quite understand what it does. ",raise without any arguments is a special use of python syntax. It means get the exception and re-raise it. If this usage it could have been called reraise.,
3610,"I have read the official definition of ""raise"", but I still don't quite understand what it does. ","Besides raise Exception(""message"") and raise Python 3 introduced a new form, raise Exception(""message"") from e. It's called exception chaining, it allows you to preserve the original exception (the root cause) with its traceback.",
3613,I want to use type hints in my current Python 3.5 project. My function should receive a function as parameter. ,"Another interesting point to note is that you can use the built in function type() to get the type of a built in function and use that.
So you could have",
3615,I want to use type hints in my current Python 3.5 project. My function should receive a function as parameter. ,"My specific use case for wanting this functionality was to enable rich code completion in PyCharm. Using Callable didn't cause PyCharm to suggest that the object had a .__code__ attribute, which is what I wanted, in this case.",
3619,"Imagine a python script that will take a long time to run, what will happen if I modify it while it's running? Will the result be different?","No, the result will not reflect the changes once saved. The result will not change when running regular python files. You will have to save your changes and re-run your program.",
3622,"Inspired by the question series 'Hidden features of ...', I am curious to hear about your favorite Django tips or lesser known but useful features you know of.",Install Django Command Extensions and pygraphviz and then issue the following command to get a really nice looking Django model visualization:,
3624,"Inspired by the question series 'Hidden features of ...', I am curious to hear about your favorite Django tips or lesser known but useful features you know of.","There's a set of custom tags I use all over my site's templates. Looking for a way to autoload it (DRY, remember?), I found the following:",
3625,"Inspired by the question series 'Hidden features of ...', I am curious to hear about your favorite Django tips or lesser known but useful features you know of.",Virtualenv + Python = life saver if you are working on multiple Django projects and there is a possibility that they all don't depend on the same version of Django/an application.,
3627,"I created a histogram plot using data from a file and no problem. Now I wanted to superpose data from another file in the same histogram, so I do something like this","The accepted answers gives the code for a histogram with overlapping bars, but in case you want each bar to be side-by-side (as I did), try the variation below:",
3628,"I created a histogram plot using data from a file and no problem. Now I wanted to superpose data from another file in the same histogram, so I do something like this","In the case you have different sample sizes, it may be difficult to compare the distributions with a single y-axis. For example:",
3641,I'm using python3.3 and I'm having a cryptic error when trying to pickle a simple dictionary. ,"Just had same issue.  In Python 3, Binary modes 'wb', 'rb' must be specified whereas in Python 2x,  they are not needed.  When you follow tutorials that are based on Python 2x,  that's why you are here. ",
3642,I'm using python3.3 and I'm having a cryptic error when trying to pickle a simple dictionary. ,"pickle uses a binary protocol, hence only accepts binary files. As the document said in the first sentence, ""The pickle module implements binary protocols for serializing and de-serializing"".",
3645,I want to display:,"I suppose you're probably using the Decimal() objects from the decimal module? (If you need exactly two digits of precision beyond the decimal point with arbitrarily large numbers, you definitely should be, and that's what your question's title suggests...)",
